名稱,族群,公司名稱,最新報價,股數,平均成本,總占比,族群占比,總現金
資產狀況,,,,,,,,-173886.0
2308,電力,台達,1485.0,48.0,1341.7,,,
2313,低軌衛星,華通 (低軌衛星PCB),263.0,1069.0,157.68,,,
2383,PCB,台光電 (CCL銅箔基板),2785.0,55.0,2177.1,,,
3017,散熱,奇鋐,2135.0,27.0,1944.37,,,
3037,PCB,欣興 (ABF載板 60%),493.5,512.0,340.2,,,
3443,TPU,創意,2310.0,9.0,2437.0,,,
3653,散熱,健策,3890.0,31.0,3321.2,,,
6442,光通,光聖 (光纖接收器),2110.0,22.0,1845.09,,,
3081,光通,聯亞 (雷射二極體),1710.0,28.0,1455.96,,,
3491,低軌衛星,昇達科,1580.0,126.0,1182.15,,,
4979,光通,華星光 (封裝/模組),379.0,109.0,373.12,,,
5536,廠務,聖暉,743.0,77.0,732.0,,,
